esmartin@ubuntu2:~/Desktop/iRAC---P3---DASH/2.3ClienteVisualizacion$ python3 -m http.server 8089
Serving HTTP on 0.0.0.0 port 8089 (http://0.0.0.0:8089/) ...
127.0.0.1 - - [12/May/2022 07:20:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:41] code 404, message File not found
127.0.0.1 - - [12/May/2022 07:20:41] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/May/2022 07:20:41] "GET /output/stream.mpd HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:42] "GET /output/video/avc1/1/init.mp4 HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:42] "GET /output/video/avc1/1/seg-1.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:42] "GET /output/video/avc1/1/seg-2.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:42] "GET /output/video/avc1/1/seg-3.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:43] "GET /output/video/avc1/1/seg-4.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:43] "GET /output/video/avc1/1/seg-5.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:44] "GET /output/video/avc1/1/seg-6.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:44] "GET /output/video/avc1/1/seg-7.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:45] "GET /output/video/avc1/1/seg-8.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:47] "GET /output/video/avc1/2/init.mp4 HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:47] "GET /output/video/avc1/2/seg-9.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:49] "GET /output/video/avc1/2/seg-10.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:50] "GET /output/video/avc1/2/seg-11.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:53] "GET /output/video/avc1/2/seg-12.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:55] "GET /output/video/avc1/2/seg-13.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:57] "GET /output/video/avc1/2/seg-14.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:20:59] "GET /output/video/avc1/2/seg-15.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:21:00] "GET /output/video/avc1/2/seg-16.m4s HTTP/1.1" 200 -
