esmartin@ubuntu2:~/Desktop/iRAC---P3---DASH/2.3ClienteVisualizacion$ python3 -m http.server 8088
Serving HTTP on 0.0.0.0 port 8088 (http://0.0.0.0:8088/) ...
127.0.0.1 - - [12/May/2022 07:14:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:08] code 404, message File not found
127.0.0.1 - - [12/May/2022 07:14:08] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/May/2022 07:14:08] "GET /output/stream.mpd HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/1/init.mp4 HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/1/seg-1.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/2/init.mp4 HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/2/seg-2.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/2/seg-3.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/init.mp4 HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-4.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-5.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-6.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-7.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-8.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-9.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-10.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-11.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-12.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-13.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:09] "GET /output/video/avc1/3/seg-14.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:10] "GET /output/video/avc1/3/seg-15.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:10] "GET /output/video/avc1/3/seg-16.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:12] "GET /output/video/avc1/3/seg-17.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:14] "GET /output/video/avc1/3/seg-18.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:16] "GET /output/video/avc1/3/seg-19.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:17] "GET /output/video/avc1/3/seg-20.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:14:19] "GET /output/video/avc1/3/seg-21.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:15:05] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [12/May/2022 07:15:07] "GET /output/stream.mpd HTTP/1.1" 304 -
127.0.0.1 - - [12/May/2022 07:15:08] "GET /output/video/avc1/3/seg-1.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:15:08] "GET /output/video/avc1/3/seg-2.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:15:09] "GET /output/video/avc1/3/seg-3.m4s HTTP/1.1" 200 -

